,,,,,,,,,,,,,,,,,LATITUD,LONGITUD,DISTRITO,TIPO,
10498703,Actividades extraescolares en el distrito de Usera,6,0,1,"L,M,X,J,V,S,D",2017-09-26 00:00:00.0,2018-07-01 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cfdf259bcecbe510VgnVCM1000001d4a900aRCRD,Actividades extraescolares en el distrito de Usera,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca0f259bcecbe510VgnVCM1000001d4a900aRCRD,,,,,40.4606228353796,-3.59368776573359,BARAJAS,/contenido/actividades/Exposiciones,/usuario/Ni�os
10721823,Actuaci�n de los alumnos de piano infantil y adultos del Centro Socio-Cultural San Jos� de Calasanz,7,1,0,,2018-06-20 00:00:00.0,2018-06-20 23:59:00.0,18:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=68cf5d085d5b3610VgnVCM2000001f4a900aRCRD,Programa de actividades en el Centro Socio Cultural San Jos� de Calasanz (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=97a7b1a5e9470610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2bae598d1351c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural San Jos� de Calasanz (Latina),437830,4473132,40.3678260361102,-3.66701811713931,PUENTE DE VALLECAS,/contenido/actividades/Musica/Flamenco,/usuario/Ni�os
10719881,Actuaci�n fin de curso alumnos de Baile Moderno Infantil del Centro Cultural Buero Vallejo,8,1,0,,2018-06-21 00:00:00.0,2018-06-21 23:59:00.0,18:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bec740b6bdba3610VgnVCM1000001d4a900aRCRD,Conciertos de colaboraci�n y actuaci�n fin de curso,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f6b640b6bdba3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Buero Vallejo (San Blas - Canillejas),448023,4477305,40.4332916259736,-3.61056623119275,SAN BLAS-CANILLEJAS,/contenido/actividades/CineActividadesAudiovisuales,
10717869,Agrupaci�n Musical Edeba,9,1,0,,2018-07-15 00:00:00.0,2018-07-15 23:59:00.0,12:00,"Programa pendiente de confirmaci�n.   Lugar: Templete del Parque de El Retiro, a las 12 horas.  M�s informaci�n:  www.madrid.es/bandasinfonica",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2d5c4badd26a3610VgnVCM2000001f4a900aRCRD,Conciertos 2018. Bandas al fresco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aa19c6b0b9e33610VgnVCM2000001f4a900aRCRD,,,,,40.4433859457084,-3.61825137516541,SAN BLAS-CANILLEJAS,/contenido/actividades/Musica,
10721416,Al borde del aeropuerto,10,1,1,"L,M,X,J,V,S",2018-06-06 00:00:00.0,2018-08-28 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82512c0d915b3610VgnVCM2000001f4a900aRCRD,Al borde del aeropuerto,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9b602c0d915b3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD,Centro Cultural Gloria Fuertes (Barajas),449666,4479054,40.4515037284923,-3.67606453550938,CHAMARTIN,/contenido/actividades/CineActividadesAudiovisuales,
10730826,Alba Molina,11,1,0,,2018-07-04 00:00:00.0,2018-07-04 23:59:00.0,22:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff6b8ed8249f3610VgnVCM1000001d4a900aRCRD,Alba Molina,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=120a8ed8249f3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5be77fb92217e210VgnVCM1000000b205a0aRCRD,Parque Entrev�as Forestal,443480,4469005,40.4097173769292,-3.65298221091151,MORATALAZ,/contenido/actividades/RecitalesPresentacionesActosLiterarios,
10724150,"Alexander y el d�a terrible, horrible, espanotoso, horroroso",12,1,0,,2018-06-29 00:00:00.0,2018-06-29 23:59:00.0,18:00,"Un d�a como todos los dem�s, Alexander se levanta y nota que tiene algo pegajoso en el pelo, anoche se acost� con un chicle en la boca y ahora lo tiene extendido por la cabeza. Cuando el peque�o se levanta de la cama tropieza con el pat�n y se hace un morat�n, despu�s se le cae el jersey mientras el agua sal�a del grifo. En este momento, Alexander se da cuenta de que no va a ser un buen d�a, sino terrible, horrible, espantoso y horroroso. Pero su d�a no ha hecho nada m�s que empezar y todav�a puede cambiar para peor o para mejor.  Para ni�as y ni�os a partir de 10 a�os.  Entrada libre hasta completar aforo.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f996a8407aac3610VgnVCM2000001f4a900aRCRD,Viernes de cine en la biblioteca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=655723ab5315e510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca P�blica Municipal Jos� Hierro (San Blas-Canillejas),448214,4476029,40.4903531015738,-3.65526174471726,HORTALEZA,/contenido/actividades/Exposiciones,"/usuario/Ni�os,/usuario/Familias"
10732047,Algo inesperado,13,1,0,,2018-08-01 00:00:00.0,2018-08-01 23:59:00.0,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=307afe07dc204610VgnVCM1000001d4a900aRCRD,Algo inesperado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd67f25f73204610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=84c7277160d88410VgnVCM2000000c205a0aRCRD,Quinta de Torre Arias,447570,4477155,40.4220660199443,-3.66296807586524,SALAMANCA,/contenido/actividades/Exposiciones,
10732082,Alma de Dios,14,1,0,,2018-08-02 00:00:00.0,2018-08-02 23:59:00.0,22:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e20fe07dc204610VgnVCM1000001d4a900aRCRD,Alma de Dios,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dc2bfe07dc204610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d2e70e165684e210VgnVCM1000000b205a0aRCRD,Parque de Berl�n,442673,4478091,40.4220660199443,-3.66296807586524,SALAMANCA,/contenido/actividades/Exposiciones,
10730880,Almas Viajeras,15,1,0,,2018-06-21 00:00:00.0,2018-06-21 23:59:00.0,19:00,"La biblioteca Miguel Delibes, les invita a la presentaci�n del libro ' Almas Viajeras'  de la mano de su autor Jos� Antonio Lop�z.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0e008ed8249f3610VgnVCM1000001d4a900aRCRD,Presentaciones de libros y recitales po�ticos en las bibliotecas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6d469bd490e63610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca P�blica Municipal Miguel Delibes (Moratalaz),444597,4473439,40.4484289257626,-3.59809698881874,SAN BLAS-CANILLEJAS,/contenido/actividades/Exposiciones,
